id,age,gender,course,study_hours,class_attendance,internet_access,sleep_hours,sleep_quality,study_method,facility_rating,exam_difficulty,exam_score
344,18,male,b.sc,7.85,68.2,yes,5.5,good,online videos,high,easy,92.9
345,23,female,diploma,2.58,99.4,yes,8,average,group study,high,easy,67.7
346,18,female,diploma,7.46,73.2,yes,4.1,average,online videos,medium,hard,69.1
347,21,female,bca,1.88,55.4,yes,5.9,average,online videos,low,moderate,39.5
348,19,male,b.tech,7.4,50.3,yes,5.8,poor,coaching,high,moderate,72.4
349,20,female,diploma,5.33,49.4,yes,8.9,average,mixed,high,moderate,72
350,17,other,b.com,1.64,89.3,yes,4.4,good,coaching,high,moderate,76.2
351,18,female,ba,1.41,49.1,yes,6.6,poor,coaching,high,moderate,47.9
352,21,other,bba,7.02,76.4,yes,4.4,good,online videos,medium,easy,78.9
353,19,female,ba,3.55,88.5,yes,7.7,good,online videos,high,moderate,62.3
354,20,female,bba,1.53,62,yes,6.2,poor,online videos,high,easy,20.8
355,24,female,b.tech,4,76.4,yes,5.5,poor,group study,low,moderate,62
356,21,other,b.sc,2.74,76.3,yes,5.6,average,online videos,low,easy,48.9
357,21,other,diploma,0.08,64.3,yes,4.3,good,group study,high,easy,49.6
358,24,male,ba,3.64,86.9,yes,4.9,good,self-study,high,moderate,75.3
359,20,male,bca,6.13,80.5,yes,4.6,average,mixed,low,moderate,85
360,23,other,bba,5.84,43.8,yes,4.4,average,group study,high,easy,72
361,17,male,b.sc,5.06,68.2,yes,6.9,good,group study,medium,moderate,71.4
362,22,male,b.sc,7.7,86.5,yes,9.6,average,group study,low,easy,94.7
363,18,male,b.com,5.58,63.1,yes,6.6,poor,group study,medium,moderate,71.1
364,19,other,diploma,4.41,67.2,yes,4.6,average,coaching,high,hard,70.3
365,21,female,ba,3.66,80.2,yes,6.2,good,mixed,medium,easy,65.3
366,20,other,b.sc,7.76,75.4,yes,8.9,poor,self-study,high,hard,84.9
367,24,female,bca,4.25,47.5,yes,6.3,poor,mixed,low,easy,43.5
368,22,female,b.tech,4.88,75.8,yes,8,good,mixed,low,moderate,58.1
369,21,male,bca,3.76,97.1,no,6.2,good,online videos,low,easy,63.4
370,17,female,b.com,5.41,69.6,yes,6.4,good,self-study,medium,easy,84.7
371,18,male,diploma,6.14,72.1,yes,8.5,good,mixed,high,moderate,92.2
372,19,female,bba,5.05,57,yes,8.4,average,mixed,high,moderate,63.8
373,19,female,b.tech,6.13,74.8,no,4.9,average,mixed,high,hard,68.4
374,22,female,b.tech,2.69,47.9,yes,6.5,average,group study,medium,hard,59.4
375,21,other,diploma,6.85,73.3,yes,8.9,poor,online videos,medium,moderate,65.4
376,22,female,ba,3.05,90.8,yes,9.6,average,coaching,medium,easy,73.9
377,23,other,bba,1.82,77.6,yes,8.2,average,mixed,medium,easy,52.7
378,21,female,b.tech,3.45,66.2,yes,9,poor,group study,high,easy,51.8
379,20,male,b.tech,2.14,63.4,yes,5.1,average,self-study,medium,easy,46.3
380,22,other,ba,3.1,77.9,yes,8.1,good,online videos,low,hard,74.7
381,24,male,b.com,6.36,60.8,yes,4.8,good,group study,high,easy,74.8
382,17,other,bca,3.18,80.4,yes,6,good,mixed,medium,moderate,59.3
383,21,other,b.sc,3,54.9,yes,4.7,good,mixed,medium,hard,43.3
384,17,other,bca,4.04,77.6,yes,5.5,good,online videos,low,hard,53.6
385,20,other,b.com,3.23,47.1,yes,7.4,good,online videos,medium,hard,51.7
386,17,male,b.com,5.4,69.4,yes,7.7,average,coaching,high,moderate,75.2
387,20,other,b.tech,6.05,53.6,yes,5.3,poor,coaching,low,moderate,59.2
388,21,other,diploma,0.11,58,yes,9.2,good,mixed,high,hard,44.9
389,23,other,b.tech,4.67,99.1,yes,5.7,average,mixed,high,moderate,63.1
390,21,male,b.sc,2.69,49.8,yes,9.9,poor,self-study,medium,moderate,62
391,19,other,b.com,0.82,72,yes,4.2,average,coaching,low,hard,44.9
392,23,other,bca,3,96.4,yes,6.9,average,online videos,low,moderate,52.9
393,18,male,diploma,4.54,65.3,yes,4.5,poor,group study,medium,moderate,33.6
394,24,male,ba,0.15,46.2,yes,9.9,good,mixed,medium,easy,40.3
395,22,other,b.com,4.05,85.4,yes,5.6,average,mixed,low,easy,60.1
396,20,male,bca,6.6,77.9,no,8.2,average,mixed,high,easy,96.4
397,21,female,ba,4.42,53.8,yes,4.8,poor,mixed,medium,easy,47.6
398,18,female,b.com,3.75,83.2,yes,7,average,self-study,high,moderate,52.2
399,20,female,b.sc,6.85,86.4,yes,4.1,poor,group study,medium,moderate,74.3
400,22,male,b.com,7.34,49.4,yes,7.7,poor,self-study,medium,easy,70.6
401,23,female,b.sc,5.64,99.4,yes,5.1,average,self-study,medium,hard,66.2
402,24,female,bba,2.92,82.7,yes,9.9,average,coaching,high,moderate,67.6
403,19,female,ba,5.27,90.8,yes,6.1,good,coaching,low,easy,88.3
404,21,other,ba,0.67,84.4,yes,9.3,good,coaching,low,easy,50.4
405,19,male,ba,2.69,47.4,yes,8.9,poor,coaching,medium,moderate,69.1
406,18,other,diploma,2.84,99.4,yes,6.1,poor,coaching,low,moderate,57.5
407,21,other,b.tech,4.23,47,no,5.5,good,online videos,medium,easy,53.4
408,22,other,b.tech,4.98,97.4,yes,6.2,poor,self-study,medium,moderate,77.2
409,24,female,b.sc,4.59,95,yes,5,poor,self-study,medium,moderate,53.1
410,23,other,b.com,0.25,62.6,yes,9.4,average,coaching,medium,hard,41.5
411,24,male,b.sc,4.79,96,yes,4.6,poor,coaching,low,easy,77.8
412,20,male,b.sc,0.77,79.4,yes,7.5,poor,self-study,medium,easy,35.3
413,18,other,b.com,4.29,85.6,no,8.8,average,mixed,high,moderate,62.1
414,21,male,b.tech,0.33,96.4,yes,7.5,good,online videos,high,moderate,46.9
415,20,other,bba,0.76,47,yes,9.2,good,self-study,medium,moderate,38.6
416,19,female,b.sc,3.57,53.3,yes,8.7,average,online videos,low,moderate,55.1
417,23,female,b.tech,2.03,86.7,yes,7,average,coaching,high,moderate,57.7
418,19,female,diploma,0.26,85.7,yes,7.5,poor,group study,medium,easy,41.4
419,24,other,b.sc,6.49,88.4,yes,9.6,poor,self-study,low,moderate,80
420,18,male,bca,6.21,80.2,yes,6.4,average,online videos,medium,easy,79.2
421,19,male,ba,4.64,93,yes,4.3,average,self-study,medium,moderate,64
422,24,male,b.tech,3.93,61.2,yes,8.8,average,online videos,low,hard,55.6
423,20,female,diploma,3.31,88.7,yes,8,good,self-study,high,easy,61.3
424,21,other,bba,6.58,57.7,no,6,average,online videos,low,moderate,61.9
425,24,other,bca,5.9,63.4,yes,7.3,average,mixed,medium,moderate,66.3
426,21,other,bca,4.87,43.1,yes,5.1,average,coaching,low,moderate,58.6
427,21,male,b.tech,5.68,58.2,yes,9.2,good,group study,low,easy,82.5
428,19,other,b.com,1.47,84.6,yes,4.1,poor,online videos,high,moderate,50.7
429,22,other,diploma,2.02,71.1,yes,8.9,good,coaching,low,easy,54.8
430,22,female,b.tech,5.94,61.6,no,6,poor,self-study,medium,easy,48.8
431,22,male,b.tech,7.16,50.3,no,4.9,good,mixed,medium,moderate,81.3
432,18,female,diploma,0.57,72.8,yes,6.5,good,online videos,high,moderate,57.6
433,19,other,b.com,6.79,84.4,yes,8.1,average,group study,medium,moderate,87.8
434,23,female,diploma,6.64,57.4,yes,4.1,average,coaching,medium,hard,69.4
435,19,female,b.com,7.91,51.2,yes,7.4,average,self-study,high,moderate,80.8
436,22,male,bca,1.56,47,yes,8.3,average,online videos,medium,easy,40.4
437,19,male,diploma,1.18,54.8,yes,9.8,average,group study,medium,moderate,30.6
438,23,other,b.sc,7,92.6,yes,7.9,good,online videos,low,moderate,83.7
439,22,female,b.sc,4.86,43.6,yes,6,average,coaching,low,moderate,89.1
440,24,female,b.sc,6.66,99.4,yes,6.4,average,group study,high,hard,89.4
441,18,other,b.tech,5.98,96.3,yes,5.6,average,self-study,medium,moderate,82.3
442,24,other,bba,4.07,66.6,yes,4.5,poor,coaching,medium,easy,67.3
443,24,female,b.sc,2.55,77,yes,7.6,good,online videos,low,moderate,64.6
444,18,other,bca,3.03,90.3,yes,5.7,poor,mixed,low,hard,46.8
445,17,male,diploma,6.95,69.5,yes,6.7,good,group study,medium,moderate,82.8
446,22,female,b.sc,4.79,66.2,yes,6,average,coaching,medium,moderate,71.7
447,17,other,b.sc,2.68,42,yes,5.3,poor,coaching,low,moderate,19.599
448,21,other,diploma,3.82,74.4,yes,6.9,average,online videos,high,moderate,54.6
449,19,female,bba,7.04,93,yes,5.4,poor,mixed,low,moderate,80.5
450,18,female,b.sc,7.85,89.4,yes,6.2,poor,self-study,low,easy,77.3
451,23,male,bca,3.64,50.3,no,6.1,good,online videos,medium,moderate,57.7
452,18,female,diploma,2.7,91.1,yes,9.2,poor,online videos,low,hard,59.4
453,24,female,b.sc,1.03,47.3,yes,7.7,good,mixed,medium,moderate,50.9
454,19,female,b.tech,4.56,81.9,yes,8.5,average,online videos,high,easy,72.5
455,18,female,b.sc,0.12,62.9,yes,4.8,average,coaching,medium,moderate,25.5
456,21,female,b.tech,7.33,71.8,yes,6.3,poor,online videos,high,moderate,63.2
457,21,male,bba,0.17,59.4,yes,5.6,good,self-study,low,moderate,39.4
458,20,male,b.tech,7.01,57.9,yes,6.7,good,mixed,high,moderate,63.6
459,22,other,diploma,1.7,82.1,yes,9.6,average,coaching,low,moderate,68.7
460,17,female,b.tech,2.88,55,yes,7.5,average,online videos,medium,hard,59.2
461,18,female,ba,0.08,40.7,yes,6.1,poor,mixed,low,easy,19.599
462,22,other,bba,6.06,74.8,yes,4.4,good,online videos,low,easy,81.5
463,23,other,b.tech,6.67,79.6,yes,7.7,good,coaching,low,moderate,72.7
464,21,male,ba,4.82,50.3,yes,9.8,poor,online videos,medium,moderate,40.8
465,17,other,b.tech,7.3,97.3,yes,7.3,average,coaching,low,moderate,89.1
466,24,other,ba,4.27,69.2,yes,6.8,poor,self-study,low,easy,50.8
467,19,female,b.tech,3.19,75.3,yes,7.6,poor,coaching,medium,easy,74.6
468,20,female,bba,1.11,58.8,no,9.3,average,coaching,low,moderate,31.9
469,23,other,bca,5.84,70.7,yes,6.9,good,mixed,low,moderate,75.8
470,18,male,bca,4.59,49.2,yes,4.4,average,coaching,medium,easy,74.3
471,23,female,bca,5.21,93.2,yes,9.5,poor,mixed,low,moderate,61.3
472,17,other,diploma,6.78,73.8,yes,8.2,poor,coaching,medium,moderate,64.8
473,19,other,b.sc,6.41,62.3,no,6.5,good,self-study,high,moderate,99.5
474,22,female,bca,0.08,64.6,yes,5.5,good,group study,low,easy,54.2
475,24,female,bca,2.9,56.6,yes,9.2,poor,group study,high,moderate,57
476,20,female,b.tech,2.88,63.2,yes,4.5,average,coaching,low,easy,43.6
477,18,other,bba,5.95,75.2,yes,7,average,online videos,low,easy,70.8
478,22,other,b.sc,2.49,74.1,yes,8.3,poor,online videos,high,moderate,35.6
479,24,female,b.tech,7.25,97.8,yes,6.8,average,online videos,low,moderate,65.3
480,21,female,b.tech,6.47,60.2,yes,9.7,average,group study,medium,easy,74.9
481,22,male,b.tech,2.4,87.2,no,9.2,poor,group study,medium,moderate,55
482,18,female,b.tech,2.07,98.2,yes,8.6,average,mixed,medium,easy,52.4
483,18,other,diploma,6.13,87.2,yes,4.7,poor,mixed,high,moderate,91.4
484,17,other,b.tech,1.69,89.4,yes,8.5,poor,self-study,low,moderate,50.5
485,21,other,b.com,6.41,86.2,yes,8,good,online videos,high,easy,84.4
486,18,other,b.com,2.85,72,yes,6.3,good,mixed,low,easy,48.4
487,23,male,ba,3.81,90.7,yes,4.9,average,online videos,medium,moderate,63.5
488,17,male,bba,7.01,92.2,yes,9.2,poor,online videos,medium,moderate,77
489,19,other,ba,2.36,68,yes,5.2,average,self-study,low,easy,42.8
490,19,male,b.sc,3.65,54.9,yes,6.3,poor,coaching,low,moderate,62.4
491,18,female,b.tech,7.11,52.6,yes,9.4,poor,self-study,high,moderate,79.4
492,22,male,b.com,5.9,69.8,yes,9.6,poor,online videos,medium,moderate,71.1
493,18,other,b.sc,0.22,66.9,yes,7.2,average,self-study,low,moderate,36.4
494,17,female,b.com,6.2,96.8,yes,6.8,good,coaching,high,moderate,100
495,19,female,b.com,7.91,93.6,yes,8.6,poor,group study,low,moderate,91.9
496,22,other,bba,2.29,53.3,yes,4.5,average,group study,low,moderate,39.5
497,21,other,diploma,3.12,77.3,yes,8.7,average,online videos,high,moderate,45.5
498,21,male,diploma,5.29,63.1,yes,9.9,poor,mixed,low,moderate,67.7
499,20,female,b.com,7.69,98.5,yes,7.1,poor,self-study,high,moderate,81.2
500,19,male,bca,4.66,81.8,yes,5.7,good,coaching,low,easy,78.3
501,18,female,bca,2.42,57.2,yes,9.6,average,group study,low,moderate,42.7
502,20,male,b.tech,5.67,85.6,no,7.9,good,mixed,medium,hard,92.6
503,22,male,b.sc,6.94,72.8,yes,5.5,poor,mixed,medium,easy,84.4
504,18,other,ba,7.67,71,yes,9.9,good,self-study,low,moderate,63.9
505,24,male,bca,4.75,79.1,yes,9,average,online videos,medium,moderate,77
506,20,male,b.tech,7.14,61.2,yes,7.2,poor,mixed,high,moderate,71.3
507,20,female,diploma,5.31,92.3,yes,4.1,good,coaching,high,hard,84.4
508,21,other,b.sc,7.75,75.4,yes,5.6,average,coaching,high,moderate,82.9
509,23,other,bca,4.62,81.9,yes,7.6,average,group study,high,moderate,78.1
510,20,other,b.com,1.81,91.1,yes,8.1,poor,group study,low,moderate,67.6
511,21,female,bca,5.71,99.4,yes,8.6,average,self-study,medium,moderate,67.1
512,21,male,bca,5.23,99.4,yes,8.1,poor,coaching,low,moderate,67
513,23,other,b.sc,2.24,56.1,yes,4.5,poor,group study,medium,easy,48.8
514,21,female,ba,4.67,87.8,yes,8,good,online videos,medium,moderate,79
515,19,male,ba,3.42,58.2,yes,9.9,poor,online videos,medium,moderate,63.6
516,20,female,b.tech,7.63,79.5,yes,7.9,average,online videos,low,easy,96.2
517,23,female,b.sc,0.08,78.1,yes,8.1,average,online videos,low,moderate,46.2
518,20,female,b.tech,7.3,58,yes,9,average,online videos,medium,hard,70.7
519,20,female,diploma,6.9,86.3,yes,9.9,good,coaching,medium,moderate,93.7
520,17,male,b.sc,0.08,49.3,yes,8.4,average,self-study,high,moderate,38.5
521,22,other,b.sc,0.2,81.5,yes,9.3,average,mixed,low,moderate,33.1
522,22,other,b.sc,7.91,82,yes,5.6,average,online videos,low,moderate,78.1
523,21,female,b.sc,7.91,86.6,yes,7.1,good,self-study,low,moderate,87.5
524,18,other,bca,0.74,57.8,yes,5,poor,group study,high,easy,39.3
525,21,other,b.tech,3.59,43.6,yes,7.2,average,self-study,low,easy,33.6
526,22,female,diploma,1.45,80.5,yes,5.5,good,mixed,low,moderate,33.9
527,22,other,b.tech,3.36,54.7,yes,5,good,self-study,medium,moderate,42.5
528,21,male,b.sc,5.71,89.7,yes,4.1,average,self-study,high,moderate,57.4
529,21,other,ba,0.62,79.5,yes,8,poor,coaching,medium,easy,40.7
530,17,other,bba,7.61,48.6,yes,9.4,good,coaching,medium,moderate,79.6
531,17,female,bca,6.32,95.3,yes,5.3,good,coaching,low,easy,72
532,17,other,b.sc,6.43,61.8,yes,4.1,good,online videos,low,moderate,59.6
533,21,other,b.com,1.83,70.5,yes,5.8,good,online videos,low,moderate,33.1
534,21,male,b.com,2.81,42.8,yes,8.5,poor,mixed,medium,moderate,41.8
535,20,male,b.com,0.15,79.6,yes,6.9,good,self-study,low,moderate,24.7
536,18,male,bca,1.54,53.3,yes,6.6,good,group study,medium,easy,56.4
537,22,male,b.tech,7.03,75.6,yes,6.7,good,coaching,high,hard,88.9
538,24,other,bba,5.05,61.5,yes,7.6,poor,group study,high,hard,67.3
539,21,female,b.com,0.18,88.9,yes,5.7,poor,coaching,medium,moderate,43.3
540,17,other,b.tech,7.36,91.2,yes,5.2,average,online videos,high,moderate,90.6
541,24,female,bca,0.08,73.8,yes,5.4,average,self-study,high,hard,33.7
542,17,other,b.tech,1.28,87.1,no,4.2,good,mixed,high,moderate,56.1
543,17,male,b.com,2.08,63.8,yes,8.7,poor,coaching,high,hard,62.8
544,19,male,b.sc,3.68,72,yes,9,average,coaching,medium,moderate,73.1
545,21,female,b.tech,2.4,84.7,yes,7.7,good,group study,medium,hard,66.2
546,23,male,ba,5.1,55.2,yes,4.8,good,self-study,low,easy,64.4
547,20,female,b.sc,6.99,40.6,no,6.7,average,mixed,high,easy,85.7
548,18,female,b.com,3.89,40.6,yes,5.6,average,online videos,low,moderate,53.8
549,21,female,b.tech,0.9,56.9,yes,4.2,poor,self-study,low,hard,46.2
550,20,other,b.com,2.5,94.4,no,8.9,poor,group study,medium,moderate,47.4
551,18,other,b.com,1.75,42.8,yes,4.1,poor,group study,medium,moderate,34.5
552,23,male,ba,4.94,63.4,no,7.6,average,coaching,medium,moderate,63.4
553,18,male,bca,7.89,63.2,yes,4.7,good,online videos,medium,easy,67.1
554,21,female,ba,3.66,99.4,yes,7.6,average,coaching,medium,easy,77.1
555,21,other,b.sc,1.18,99.4,yes,5,average,self-study,low,moderate,34.2
556,21,male,b.tech,2.95,98.9,yes,7,poor,mixed,low,moderate,62.4
557,17,male,b.sc,1.98,62.6,yes,8.7,good,self-study,low,moderate,48.5
558,18,other,bca,7.34,88.9,yes,8.8,good,self-study,medium,moderate,89.2
559,18,other,diploma,5.66,50.4,yes,9.2,good,group study,high,hard,73.6
560,17,female,b.com,3.25,70.3,yes,4.5,good,online videos,low,moderate,49.4
561,23,male,b.tech,7.63,92,yes,4.1,good,self-study,medium,moderate,97.3
562,22,other,b.sc,7,53.1,yes,4.1,average,online videos,high,moderate,74.4
563,24,other,b.com,4.88,74.2,yes,4.1,good,self-study,medium,hard,71.9
564,22,other,diploma,2.52,60.3,yes,7.3,poor,group study,low,easy,40.4
565,18,female,b.tech,7.19,50.9,yes,9.6,average,self-study,medium,easy,68
566,19,male,bca,4.88,74,yes,8.4,good,online videos,medium,easy,72.7
567,20,male,bba,0.98,64.3,yes,4.9,average,online videos,high,hard,29.8
568,23,other,b.sc,2.38,73.5,yes,4.1,average,self-study,medium,moderate,49.4
569,21,other,diploma,4.56,43.8,yes,4.9,good,self-study,medium,moderate,44.4
570,21,other,b.com,6.69,97.9,yes,6.7,good,self-study,high,hard,88.5
571,22,male,bca,7.71,61.4,yes,7.6,good,group study,medium,moderate,88.7
572,22,male,b.com,7.43,78.5,yes,6,average,online videos,high,easy,77.2
573,22,female,bba,1.53,66.9,yes,4.1,poor,self-study,low,easy,35.6
574,21,male,ba,7.55,90.4,yes,4.8,average,mixed,low,easy,91.7
575,18,female,ba,0.31,50,yes,4.8,poor,online videos,low,hard,19.599
576,24,male,b.tech,3.04,81.6,yes,8.9,good,self-study,medium,hard,71.2
577,24,male,b.tech,0.83,47.2,yes,7.2,good,coaching,medium,moderate,67.8
578,22,other,b.com,0.4,60.4,yes,5.5,good,mixed,medium,moderate,58
579,22,female,b.tech,3.23,94,yes,8.1,good,coaching,medium,moderate,64.4
580,18,female,b.tech,6.4,68.2,yes,9.5,good,self-study,high,easy,88.1
581,23,male,b.sc,6.23,70.6,yes,6.7,good,self-study,medium,easy,80.4
582,20,other,b.sc,5.67,97.9,yes,5.2,poor,group study,low,moderate,59.1
583,23,female,b.tech,2.44,80,yes,5.5,good,mixed,low,moderate,59.5
584,20,female,b.com,1.24,96.1,yes,4.1,poor,self-study,low,moderate,47.7
585,21,other,b.tech,3.65,54.5,yes,4.1,poor,self-study,medium,moderate,32.1
586,24,male,ba,1.65,41.8,yes,5.6,average,group study,high,easy,22
587,17,male,bca,2.78,77.3,yes,7.8,average,mixed,high,moderate,61.7
588,24,female,b.com,4.11,71.3,yes,4.6,poor,group study,low,hard,56.3
589,24,male,b.sc,7.91,73.6,no,6.2,average,self-study,low,easy,61.6
590,21,female,b.sc,6.76,90.2,yes,9.2,poor,mixed,low,hard,87.1
591,21,other,bba,2.79,61.8,yes,5.6,average,self-study,medium,moderate,50.4
592,22,female,b.sc,0.61,74,yes,6,average,self-study,medium,moderate,31.4
593,24,female,b.com,7.28,61.2,yes,5.2,good,self-study,low,easy,61.7
594,20,male,bca,5.41,73.1,yes,8.4,poor,self-study,medium,moderate,70.9
595,24,male,b.sc,0.08,91.2,yes,4.6,average,online videos,high,moderate,48
596,22,other,b.sc,1.01,69.1,yes,4.1,poor,mixed,medium,hard,37
597,21,other,b.sc,6.23,99.4,yes,8.6,good,self-study,high,easy,81.6
598,18,female,ba,7.05,82.1,yes,6.6,poor,mixed,low,moderate,73.1
599,20,female,b.com,7.53,58.2,yes,8.8,good,self-study,medium,moderate,77.2
600,21,other,b.sc,0.31,82,no,5,good,coaching,medium,moderate,38
601,21,male,ba,3.14,84.2,yes,5.4,poor,coaching,low,moderate,40.7
602,22,female,b.tech,1.46,40.6,yes,6.3,average,group study,high,easy,46.3
603,19,female,ba,6.48,98,no,8.5,good,group study,medium,easy,87.3
604,22,other,b.tech,4.94,52,yes,7.2,average,coaching,low,moderate,68.3
605,18,female,b.sc,4.67,56.2,yes,5.3,poor,group study,high,easy,61.3
606,22,female,b.sc,0.59,96.2,yes,9.7,poor,group study,high,moderate,54.1
607,19,female,b.com,3.81,66.3,yes,6.5,good,mixed,high,moderate,82.9
608,17,female,diploma,1.42,53.9,no,9.5,average,coaching,medium,moderate,72.5
609,20,other,diploma,6.41,54.1,no,7.4,average,coaching,high,easy,83.9
610,20,other,b.sc,2.47,44.1,yes,8.5,average,self-study,low,moderate,42.5
611,22,female,bba,7.22,73.6,yes,9.6,poor,online videos,medium,easy,97.5
612,20,male,b.com,4.06,77.4,yes,6.4,poor,mixed,medium,moderate,63
613,24,other,bba,4.29,81.2,yes,6.8,good,coaching,medium,moderate,88.7
614,24,other,bca,1.46,74.4,yes,5.8,poor,mixed,medium,moderate,41.6
615,22,male,b.sc,5.76,56.4,yes,7.6,poor,group study,high,easy,60.8
616,17,other,bca,4.58,86,yes,6,good,coaching,medium,easy,85.9
617,17,male,ba,6.23,52.4,yes,6.6,average,self-study,high,easy,66.6
618,23,other,b.sc,7.74,78.6,yes,8.8,good,mixed,low,hard,90.7
619,23,female,bca,7.11,48.6,yes,8.8,good,coaching,low,easy,76.8
620,20,female,bba,1.23,99.4,yes,8.4,poor,online videos,medium,moderate,37.8
621,24,male,bca,5.64,97,yes,8,average,online videos,medium,moderate,84.2
622,18,other,b.sc,3.64,90,yes,9.8,average,mixed,medium,easy,56.6
623,17,male,b.com,3.06,96.7,yes,9.4,good,online videos,high,easy,82.3
624,18,other,diploma,2.92,52.7,yes,9.3,good,self-study,low,moderate,44.8
625,22,other,b.com,3.1,77.8,yes,6.4,good,self-study,high,moderate,54.8
626,20,other,b.tech,4.29,63.3,yes,8.4,poor,group study,low,easy,68.7
627,18,female,bca,6.64,83.3,yes,8.1,poor,mixed,high,easy,69.6
628,22,other,b.tech,4.01,80.4,yes,8.7,good,group study,high,easy,68.4
629,19,male,b.sc,4.69,49.5,yes,7.4,good,group study,high,moderate,68.9
630,24,male,bca,7.34,92.2,yes,9.7,average,online videos,high,easy,93.8
631,22,other,b.com,6.26,77.7,yes,8.5,good,self-study,medium,moderate,82.5
632,17,male,bca,5.5,53.5,yes,6.8,poor,coaching,medium,moderate,56.3
633,20,male,bca,2.29,88.6,yes,5,average,coaching,high,moderate,61
634,17,male,b.tech,2.53,42.7,yes,7.4,poor,mixed,medium,moderate,22.6
635,23,male,bba,7.02,77,yes,8.1,poor,mixed,medium,moderate,72.9
636,23,female,bca,0.31,90.7,yes,4.7,good,online videos,low,moderate,45
637,19,male,b.com,3.38,99.4,yes,6.8,average,mixed,low,moderate,61.4
638,22,other,b.sc,1.34,55.8,yes,5.2,average,online videos,medium,easy,34.9
639,24,female,bca,5.43,50.8,yes,9.4,good,mixed,medium,hard,61.4
640,24,female,diploma,1.1,53.5,yes,5.6,poor,coaching,high,moderate,39
641,22,female,bca,7.91,97.7,yes,4.7,poor,mixed,high,moderate,94
642,23,other,bba,6.8,61,yes,4.8,average,mixed,high,easy,72.6
643,19,female,b.sc,5.83,68,yes,5.1,good,self-study,medium,moderate,55.1
644,21,male,bba,1.4,83.2,yes,6.4,good,coaching,medium,moderate,61.7
645,17,male,ba,5.31,75.1,yes,7,poor,coaching,medium,easy,59.2
646,23,female,b.sc,0.08,80.3,yes,4.8,good,mixed,medium,moderate,30
647,17,male,bba,3.37,97.5,no,9.8,poor,coaching,medium,moderate,76.3
648,20,female,bca,3.35,71.1,yes,7.5,average,coaching,medium,moderate,64.5
649,22,male,b.tech,0.26,85.4,yes,8.8,poor,group study,low,easy,35
650,24,female,b.com,7.05,68.2,yes,9.2,poor,coaching,high,hard,71.2
651,18,other,b.com,6.91,83.3,yes,7.2,poor,group study,medium,easy,81.5
652,24,female,b.com,4.2,92.4,yes,9.4,average,coaching,high,easy,84.7
653,19,other,diploma,6.43,81.6,yes,7.8,average,group study,medium,moderate,89.1
654,17,female,b.tech,2.02,86.1,yes,7.8,poor,online videos,high,moderate,57
655,20,other,bca,5.77,84.4,yes,4.4,good,mixed,medium,easy,88.8
656,23,male,bba,4.66,90.9,yes,8.7,poor,coaching,medium,moderate,69.3
657,19,female,b.com,0.37,58.4,yes,4.5,average,self-study,medium,moderate,30.8
658,24,female,b.sc,5.26,74.8,yes,5.6,average,mixed,high,easy,82.3
659,21,other,bca,1.46,76.1,yes,5.9,good,coaching,high,easy,52.6
660,22,female,b.com,0.32,85.8,yes,9.7,average,self-study,high,easy,47.7
661,19,female,bca,0.4,99.4,yes,9.8,average,coaching,medium,easy,81.1
662,24,female,b.sc,4.69,49.2,yes,4.6,good,mixed,low,moderate,55.7
663,21,male,b.tech,7.33,98.3,yes,7.1,poor,mixed,high,moderate,81.5
664,24,other,ba,2.16,92.6,yes,8.8,poor,self-study,low,moderate,52.3
665,22,female,b.sc,6.3,62.6,no,9.3,poor,group study,high,easy,78.9
666,18,female,bba,2.03,53.9,yes,7,good,coaching,high,moderate,63.6
667,24,female,b.sc,0.91,99.4,yes,9.6,good,self-study,medium,hard,57.3
668,23,female,diploma,2.28,44.7,yes,7.1,poor,online videos,low,hard,31.1
669,23,other,b.sc,7.58,98.9,yes,9.9,good,self-study,low,moderate,90.9
670,17,female,bba,7.5,63.8,yes,8.5,good,mixed,high,moderate,100
671,17,male,b.tech,5.31,45.5,yes,8.4,poor,self-study,low,moderate,37
672,21,other,b.com,6.5,83.9,yes,9.7,good,self-study,medium,easy,75.7
673,22,female,bca,3.5,85.9,yes,7.3,poor,mixed,low,moderate,36.1
674,22,other,ba,5.7,91.6,yes,4.7,poor,coaching,high,moderate,81.1
675,23,female,b.tech,6.01,81.9,yes,6.7,good,self-study,high,moderate,76.8
676,18,male,b.sc,4.95,63.7,yes,5.6,poor,mixed,high,hard,47.7
677,20,female,b.tech,5.33,53.4,yes,9.4,good,online videos,high,moderate,61.1
678,20,other,b.sc,0.71,82.1,yes,7.7,average,online videos,low,moderate,39.5
679,17,male,b.sc,4.69,43.2,no,7.4,poor,group study,low,easy,44.7
680,17,other,diploma,1.07,44.4,yes,7.9,poor,coaching,high,easy,57.5
681,19,female,ba,0.38,62.6,yes,5.1,poor,online videos,medium,moderate,33.7
682,21,female,diploma,1.21,49.6,yes,6.8,average,self-study,medium,easy,50.6
683,23,female,bba,7.36,98.3,yes,9.9,good,online videos,medium,easy,97.8
684,22,male,b.tech,6.13,41.5,yes,9.7,average,mixed,medium,easy,73.5
685,22,female,b.sc,7.72,75.3,yes,6.3,poor,online videos,high,moderate,96.8
686,19,female,bba,1.47,54.6,yes,8.9,poor,online videos,medium,moderate,39.2
687,19,other,b.tech,0.08,80.2,no,9.4,good,group study,low,easy,46.5
